Wall time,Step,Value
1573601856.4527864,0,0.6809975504875183
1573601875.3594701,1,0.2646556794643402
1573601893.8700602,2,0.20780687034130096
1573601912.3646028,3,0.18933436274528503
1573601930.9001863,4,0.17522501945495605
1573601949.4395647,5,0.16900642216205597
1573601968.1494992,6,0.1601385474205017
1573601987.1323264,7,0.15213890373706818
1573602005.721214,8,0.15159283578395844
1573602024.5892045,9,0.14857430756092072
1573602043.5651686,10,0.1434807926416397
1573602062.488799,11,0.1401180773973465
1573602082.6055205,12,0.13945038616657257
1573602102.7968752,13,0.13795708119869232
1573602121.662547,14,0.13504348695278168
1573602140.530897,15,0.13511894643306732
1573602159.597356,16,0.13203930854797363
1573602178.4610002,17,0.13007833063602448
1573602197.6058571,18,0.1319555789232254
1573602216.8318708,19,0.12804542481899261
1573602235.8046553,20,0.12962357699871063
1573602254.8766046,21,0.1261579841375351
1573602273.9195158,22,0.1277298927307129
1573602293.2538202,23,0.12515166401863098
1573602312.3753877,24,0.12458688765764236
1573602332.4412613,25,0.12480007857084274
1573602351.7635481,26,0.12511849403381348
1573602371.3300507,27,0.12401340901851654
1573602389.9800987,28,0.11976838111877441
1573602409.007471,29,0.11995255202054977
1573602427.8554182,30,0.11908617615699768
1573602446.6551502,31,0.11965543776750565
1573602465.6909993,32,0.12012550234794617
1573602485.0855472,33,0.12033667415380478
1573602503.9715612,34,0.1168128028512001
1573602523.1114163,35,0.11637324094772339
1573602542.0773742,36,0.11865688115358353
1573602562.2020867,37,0.11804278194904327
1573602581.617276,38,0.1174854189157486
1573602601.4604704,39,0.11799349635839462
1573602620.2436903,40,0.11626225709915161
1573602639.610512,41,0.1144852265715599
1573602659.0316546,42,0.11552291363477707
1573602678.0982585,43,0.11838192492723465
1573602697.1417193,44,0.1153504028916359
1573602716.470864,45,0.11299069970846176
1573602736.0434535,46,0.11639666557312012
1573602755.7845414,47,0.11461266130208969
1573602775.2925603,48,0.1140296533703804
1573602794.5323615,49,0.11391856521368027
1573602815.1940756,50,0.11151974648237228
1573602834.9350107,51,0.11318708956241608
1573602854.149666,52,0.11285201460123062
1573602873.6952808,53,0.11369557678699493
1573602893.1456082,54,0.11372744292020798
1573602912.5173614,55,0.1123972162604332
1573602932.4612813,56,0.1131158173084259
1573602951.9960158,57,0.11373930424451828
1573602971.2882512,58,0.11059720814228058
1573602990.7605631,59,0.11104801297187805
1573603011.1241736,60,0.11170969158411026
1573603030.4500263,61,0.10851643979549408
1573603051.3193808,62,0.10946638882160187
1573603070.6887286,63,0.11000236123800278
1573603090.2935605,64,0.11045714467763901
1573603109.9775593,65,0.10969754308462143
1573603130.1225178,66,0.11215382069349289
1573603149.848444,67,0.11101488023996353
1573603169.1951003,68,0.11223302781581879
1573603188.938314,69,0.10779086500406265
1573603208.6782186,70,0.1101667582988739
1573603228.032781,71,0.10858048498630524
1573603247.6201866,72,0.11225993186235428
1573603267.3375401,73,0.11020908504724503
1573603288.1254551,74,0.110283263027668
1573603307.909223,75,0.10877866297960281
1573603327.648434,76,0.10847131907939911
1573603347.3486488,77,0.1108434870839119
1573603367.2632086,78,0.10847543179988861
1573603386.9032593,79,0.10951380431652069
1573603406.4891586,80,0.10746000707149506
1573603426.4446106,81,0.10674439370632172
1573603446.1553721,82,0.10683682560920715
1573603465.9793153,83,0.10862235724925995
1573603485.6563737,84,0.10987648367881775
1573603505.3341098,85,0.10542463511228561
1573603527.2286358,86,0.1089455708861351
1573603547.6632936,87,0.10788266360759735
1573603567.3805752,88,0.10611096769571304
1573603588.3291013,89,0.1067563146352768
1573603607.9016144,90,0.106895312666893
1573603627.3430386,91,0.11079487949609756
1573603646.685326,92,0.10731461644172668
1573603666.140875,93,0.10429617762565613
1573603685.9056127,94,0.10680756717920303
1573603705.3027563,95,0.1077437624335289
1573603724.8783839,96,0.10647085309028625
1573603744.2823782,97,0.1064796969294548
1573603765.0855722,98,0.10618233680725098
1573603784.6523726,99,0.10766040533781052
