Wall time,Step,Value
1573168918.6227798,0,0.4333818852901459
1573168933.2320786,1,0.20386895537376404
1573168947.9308949,2,0.16208474338054657
1573168962.5846927,3,0.13550741970539093
1573168977.2027795,4,0.11944999545812607
1573168992.0668893,5,0.10967709869146347
1573169006.823108,6,0.10324687510728836
1573169021.5632243,7,0.09764567017555237
1573169036.3277326,8,0.0954878032207489
1573169051.0425084,9,0.09125533699989319
1573169065.7344997,10,0.09031254798173904
1573169080.3802724,11,0.08979794383049011
1573169094.9938934,12,0.0868510827422142
1573169110.1087935,13,0.08584345132112503
1573169124.7875583,14,0.08458929508924484
1573169139.569477,15,0.08383234590291977
1573169154.2163541,16,0.08224890381097794
1573169168.932168,17,0.08230597525835037
1573169183.5773542,18,0.08169849961996078
1573169198.273736,19,0.0802685022354126
1573169212.9728708,20,0.08045027405023575
1573169227.7004743,21,0.07854367047548294
1573169242.3595574,22,0.07946604490280151
1573169257.0571477,23,0.07862715423107147
1573169271.7305741,24,0.07610664516687393
1573169286.5833073,25,0.07892096042633057
1573169301.2858684,26,0.07649952173233032
1573169316.003355,27,0.07522264868021011
1573169330.6986718,28,0.07481057196855545
1573169345.4272835,29,0.07588556408882141
1573169360.069566,30,0.07669150084257126
1573169374.8786514,31,0.07562611252069473
1573169389.630305,32,0.07362327724695206
1573169404.577526,33,0.07255884259939194
1573169419.3221743,34,0.0736762061715126
1573169434.021714,35,0.07326792180538177
1573169448.7000525,36,0.073939248919487
1573169463.5657887,37,0.07203830033540726
1573169478.3237474,38,0.07725998014211655
1573169493.0754828,39,0.07076204568147659
1573169507.711421,40,0.0722774788737297
1573169523.4997194,41,0.06968820095062256
1573169538.2269485,42,0.0726664587855339
1573169553.0550485,43,0.07292210310697556
1573169567.7602592,44,0.07107570767402649
1573169582.594191,45,0.07137682288885117
1573169597.3375192,46,0.07210581749677658
1573169612.0799534,47,0.07052907347679138
1573169626.7946515,48,0.07049942761659622
1573169641.5862052,49,0.07352017611265182
1573169656.337478,50,0.07158222794532776
1573169671.082703,51,0.07141777873039246
1573169686.0590687,52,0.07111528515815735
1573169701.0874135,53,0.07165569812059402
1573169716.0495846,54,0.07195402681827545
1573169730.80276,55,0.07246710360050201
1573169745.790426,56,0.0725325495004654
1573169760.487376,57,0.06876128166913986
1573169775.3388774,58,0.0713975578546524
1573169790.2265174,59,0.07021854817867279
1573169804.9562511,60,0.06995555013418198
1573169819.8349695,61,0.07077982276678085
1573169834.5451162,62,0.07360072433948517
1573169849.36152,63,0.07109037041664124
1573169864.2352846,64,0.07079688459634781
1573169879.1645708,65,0.06977201253175735
1573169894.0648813,66,0.0711754783987999
1573169908.909158,67,0.06953785568475723
1573169923.741298,68,0.07097596675157547
1573169938.694521,69,0.06926187127828598
1573169953.5867543,70,0.07085386663675308
1573169968.5255852,71,0.06935586035251617
1573169983.4927676,72,0.06912212818861008
1573169998.3748128,73,0.07085514813661575
1573170013.1032221,74,0.06972556561231613
1573170027.9168987,75,0.07129444181919098
1573170042.6461344,76,0.06883811205625534
1573170057.8508604,77,0.06944890320301056
1573170072.7872458,78,0.07056368142366409
1573170087.6316006,79,0.07065128535032272
1573170104.0153162,80,0.0693914070725441
1573170118.838975,81,0.07004056870937347
1573170133.6247444,82,0.07086718827486038
1573170148.5388439,83,0.07113780826330185
1573170163.5456085,84,0.07194656878709793
1573170178.4431458,85,0.06792878359556198
1573170193.2225547,86,0.06985139101743698
1573170208.0308104,87,0.06919126212596893
1573170223.1310027,88,0.07214970141649246
1573170238.0814977,89,0.06822504103183746
1573170252.8755887,90,0.06963761895895004
1573170268.1408558,91,0.06791648268699646
1573170282.9624507,92,0.07049061357975006
1573170297.8683953,93,0.07145950943231583
1573170312.8140829,94,0.07033169269561768
1573170327.696093,95,0.06847678124904633
1573170342.5550966,96,0.06791636347770691
1573170357.6553738,97,0.06864862143993378
1573170372.4411247,98,0.06828773021697998
1573170387.5105712,99,0.06709321588277817
